Turn 00001 | 2#1 Healer [0/0/2/5/7] was KILLED by 1#1 Archer [10/1/0/16/3]
Turn 00001 | 2#2 Warlock [0/0/0/4/12] was KILLED by 1#2 Warlock [2/1/0/8/4]
Turn 00001 | 2#3 Archer [0/0/0/8/13] was KILLED by 1#3 Knight [33/1/1]
Turn 00001 | 1#2 Warlock [0/0/0/8/4] was KILLED by 2#4 Archer [12/3/13/18/15]
Turn 00013 | 2#4 Archer [0/0/13/18/15] was KILLED by 1#1 Archer [7/1/0/16/3]
Turn 00001 | 2#3 Archer [0/0/0/5/23] was KILLED by 1#3 Heavy Infantry [11/12/1]
Turn 00002 | 2#1 Gulyay Gorod [0/0/1] was KILLED by 1#1 Knight [14/15/6]
Turn 00003 | 2#2 Heavy Infantry [0/0/33] was KILLED by 1#1 Knight [14/15/6]
Turn 00003 | 2#5 Light Infantry [0/0/3/1/11] was KILLED by 1#3 Heavy Infantry [11/12/1]
Turn 00004 | 2#4 Gulyay Gorod [0/0/4] was KILLED by 1#1 Knight [14/15/6]
Turn 00005 | 2#6 Heavy Infantry [0/0/3] was KILLED by 1#1 Knight [14/15/6]
Turn 00001 | 2#1 Archer [0/0/0/3/1] was KILLED by 1#1 Heavy Infantry [15/6/17]
Turn 00001 | 1#2 Archer [0/0/0/5/1] was KILLED by 2#2 Heavy Infantry [10/2/0]
Turn 00003 | 2#2 Heavy Infantry [0/0/0] was KILLED by 1#1 Heavy Infantry (He) [14/6/20]
Turn 00003 | 1#4 Light Infantry [0/0/3/1/8] was KILLED by 2#4 Warlock [1/10/0/6/12]
Turn 00004 | 2#3 Archer [0/0/1/4/2] was KILLED by 1#1 Heavy Infantry [13/6/17]
Turn 00004 | 2#5 Warlock [0/0/0/5/11] was KILLED by 1#5 Knight [2/23/4]
Turn 00005 | 2#4 Warlock [0/0/0/6/12] was KILLED by 1#1 Heavy Infantry [13/6/17]
Turn 00005 | 2#7 Healer [0/0/2/3/1] was KILLED by 1#5 Knight [2/23/4]
Turn 00011 | 2#6 Heavy Infantry [0/0/1] was KILLED by 1#1 Heavy Infantry [3/6/17]
Turn 00012 | 2#8 Warlock [0/0/0/4/5] was KILLED by 1#1 Heavy Infantry [2/6/17]
