Turn 00001 | 1#1 Archer [10/1/0/16/3] attacks 2#1 Healer [0/0/2/5/7] dealing 1 damage
Turn 00001 | 1#2 Warlock [2/1/0/8/4] attacks 2#2 Warlock [0/0/0/4/12] dealing 1 damage
Turn 00001 | 1#3 Knight [33/1/1] attacks 2#3 Archer [0/0/0/8/13] dealing 1 damage
Turn 00002 | 2#4 Archer [12/3/13/18/15] attacks 1#1 Archer [7/1/0/16/3] dealing 3 damage
Turn 00002 | 1#1 Archer [7/1/0/16/3] attacks 2#4 Archer [11/3/13/18/15] dealing 1 damage
Turn 00003 | 1#1 Archer [7/1/0/16/3] attacks 2#4 Archer [10/3/13/18/15] dealing 1 damage
Turn 00003 | 2#4 Archer [10/3/13/18/15] attacks 1#1 Archer [4/1/0/16/3] dealing 3 damage
Turn 00004 | 2#4 Archer [10/3/13/18/15] attacks 1#1 Archer [1/1/0/16/3] dealing 3 damage
Turn 00004 | 1#1 Archer [1/1/0/16/3] attacks 2#4 Archer [9/3/13/18/15] dealing 1 damage
Turn 00005 | 1#1 Archer [10/1/0/16/3] attacks 2#4 Archer [8/3/13/18/15] dealing 1 damage
Turn 00005 | 2#4 Archer [8/3/13/18/15] attacks 1#1 Archer [7/1/0/16/3] dealing 3 damage
Turn 00006 | 2#4 Archer [8/3/13/18/15] attacks 1#1 Archer [4/1/0/16/3] dealing 3 damage
Turn 00006 | 1#1 Archer [4/1/0/16/3] attacks 2#4 Archer [7/3/13/18/15] dealing 1 damage
Turn 00007 | 1#1 Archer [10/1/0/16/3] attacks 2#4 Archer [6/3/13/18/15] dealing 1 damage
Turn 00007 | 2#4 Archer [6/3/13/18/15] attacks 1#1 Archer [7/1/0/16/3] dealing 3 damage
Turn 00008 | 2#4 Archer [6/3/13/18/15] attacks 1#1 Archer [4/1/0/16/3] dealing 3 damage
Turn 00008 | 1#1 Archer [4/1/0/16/3] attacks 2#4 Archer [5/3/13/18/15] dealing 1 damage
Turn 00009 | 1#1 Archer [4/1/0/16/3] attacks 2#4 Archer [4/3/13/18/15] dealing 1 damage
Turn 00009 | 2#4 Archer [4/3/13/18/15] attacks 1#1 Archer [1/1/0/16/3] dealing 3 damage
Turn 00010 | 2#4 Archer [4/3/13/18/15] attacks 1#1 Archer [7/1/0/16/3] dealing 3 damage
Turn 00010 | 1#1 Archer [7/1/0/16/3] attacks 2#4 Archer [3/3/13/18/15] dealing 1 damage
Turn 00011 | 1#1 Archer [7/1/0/16/3] attacks 2#4 Archer [2/3/13/18/15] dealing 1 damage
Turn 00011 | 2#4 Archer [2/3/13/18/15] attacks 1#1 Archer [4/1/0/16/3] dealing 3 damage
Turn 00012 | 2#4 Archer [2/3/13/18/15] attacks 1#1 Archer [7/1/0/16/3] dealing 3 damage
Turn 00012 | 1#1 Archer [7/1/0/16/3] attacks 2#4 Archer [1/3/13/18/15] dealing 1 damage
Turn 00013 | 1#1 Archer [7/1/0/16/3] attacks 2#4 Archer [0/0/13/18/15] dealing 1 damage
Turn 00001 | 1#1 Knight [14/15/6] attacks 2#1 Gulyay Gorod [10/0/1] dealing 14 damage
Turn 00001 | 1#2 Heavy Infantry [37/2/4] attacks 2#2 Heavy Infantry [7/1/33] dealing 1 damage
Turn 00001 | 2#2 Heavy Infantry [7/1/33] attacks 1#2 Heavy Infantry [36/2/4] dealing 1 damage
Turn 00001 | 1#3 Heavy Infantry [11/12/1] attacks 2#3 Archer [0/0/0/5/23] dealing 12 damage
Turn 00002 | 1#1 Knight [14/15/6] attacks 2#1 Gulyay Gorod [0/0/1] dealing 14 damage
Turn 00002 | 2#2 Heavy Infantry [7/1/33] attacks 1#2 Heavy Infantry [35/2/4] dealing 1 damage
Turn 00002 | 1#2 Heavy Infantry [35/2/4] attacks 2#2 Heavy Infantry [6/1/33] dealing 1 damage
Turn 00002 | 1#3 Heavy Infantry [11/12/1] attacks 2#4 Gulyay Gorod [3/0/4] dealing 10 damage
Turn 00003 | 1#1 Knight [14/15/6] attacks 2#2 Heavy Infantry [0/0/33] dealing 6 damage
Turn 00003 | 1#2 Heavy Infantry [35/2/4] attacks 2#4 Gulyay Gorod [1/0/4] dealing 2 damage
